OBJECTID,Request__,Status,Request_Type,Subrequest_Type,Additional_Subrequest_Type,Request_Origin,Contact_Type,Preferred_Language,State_Issue,Parent_Request,Address,City,Council_District,Latitude,Longitude,Date_Time_Opened,Date_Time_Closed,ZIP,GlobalID
1,966190,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,"1301 Pilgrim Dr, Nashville, TN 37115, United States",MADISON,8.0,36.2718801,-86.7175492,2022-05-04 17:54:30,2022-05-04 17:54:30,37115,fb805513-6d51-4be1-814f-d56a65e75893
2,932934,Closed,Public Safety,Abandoned Vehicles,Abandoned Vehicles,Phone,,,False,,"1237 Tuckahoe Dr, Nashville, TN 37207, United States",NASHVILLE,3.0,36.25727,-86.76369,2022-04-01 21:01:39,2022-04-05 11:29:54,37207,2396e6fa-e2f9-43cd-8831-a90fabc98c17
3,932939,Closed,"Trash, Recycling & Litter",Cart Service,Trash - Report a Damaged Cart,Phone,,,False,,"3613 Wells Ct, Nashville, TN 37013, United States",ANTIOCH,33.0,36.080968,-86.602406,2022-04-01 21:04:50,2022-04-06 20:14:15,37013,49944bdb-2887-4861-96e3-c4c438e38c3d
4,932935,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2022-04-01 21:01:47,2022-04-01 21:01:47,,121a2bba-437a-4232-b024-32d6dff82ed9
5,932938,Closed,Public Safety,Request Non-Emergency Police Assistance,,Phone,,,False,,"401 Broadway, Nashville, TN 37203, United States",NASHVILLE,19.0,36.16074,-86.77726,2022-04-01 21:03:10,2022-04-01 22:04:31,37203,6e41dc9e-2f90-4def-a668-5de2cfdac933
6,932936,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2022-04-01 21:01:49,2022-04-01 21:01:49,,a6be3ad2-05ee-48b3-ae01-675eb4ae1ccf
7,932943,Closed,Public Safety,Request Non-Emergency Police Assistance,,Phone,,,False,,"1005 Hickory Hill Ln, Nashville, TN 37076, United States",HERMITAGE,14.0,36.1897858,-86.6314104,2022-04-01 21:08:39,2022-04-01 23:49:34,37076,ea7b1c63-3bfe-4efd-b698-9a19ad341d89
8,932944,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,"211 Duke St, Nashville, TN 37207, United States",NASHVILLE,5.0,36.2075196,-86.7646158,2022-04-01 21:09:06,2022-04-01 21:09:06,37207,ec7c2c2b-ec2b-45f8-ba3d-c2ebdf45ea20
9,932940,Closed,Public Safety,Request Non-Emergency Police Assistance,,Phone,,,False,,,,,,,2022-04-01 21:06:59,2022-04-01 21:24:04,,d09bf930-06b0-4287-80d6-e0ffddfe8c1f
10,794228,Closed,Public Safety,MEANS (Metro Emergency Alert Notification System),MEANS (Metro Emergency Alert Notification System),hubNashville Community,,,False,,3100 Wingate Ave,NASHVILLE,16.0,36.10471,-86.73455,2021-10-03 06:09:18,2021-10-04 15:12:17,37211,281cd10e-db4a-476b-9a76-7372b3f52042
