OBJECTID,Primary_Key,Incident_Number,Report_Type,Report_Type_Description,Incident_Status_Code,Incident_Status_Description,Investigation_Status,Incident_Location,Latitude,Longitude,RPA,Zone,Location_Code,Location_Description,Offense_Number,Offense_NIBRS,Offense_Description,Weapon_Description,Victim_Number,Domestic_Related,Victim_Type,Victim_Description,Victim_Gender,Victim_Race,Victim_Ethnicity,Victim_County_Resident,Mapped_Location,POINT_X,POINT_Y,ZIP_Code,Weapon_Primary,Incident_Occurred,Incident_Reported
921016,20260573426_11,20260573426,D,DISPATCHED,O,OPEN,Open,PATRICIA DR,36.129999999702626,-86.70000000020825,,,22,"RESIDENCE, HOME",1,90F,CRIMINAL CONTEMPT-VIOLATION OF ORDER OF PROTECTION,NONE,1,Yes,I,INDIVIDUAL (18 AND OVER),F,I,Non-Hispanic,UNKNOWN,,,,,17,1790126100000,1790127480000
924868,20260573392_11,20260573392,D,DISPATCHED,O,OPEN,Open,HICKORY HILL LN,36.19000000021294,-86.62999999980876,,,90,APARTMENT,1,13C,ASSAULT- FEAR OF BODILY INJURY,,1,No,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,,,,,,1790124420000,1790126460000
924870,20260573392_12,20260573392,D,DISPATCHED,O,OPEN,Open,HICKORY HILL LN,36.19000000021294,-86.62999999980876,,,90,APARTMENT,1,13C,ASSAULT- FEAR OF BODILY INJURY,,2,No,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,UNKNOWN,,,,,,1790124420000,1790126460000
894677,20260573324_11,20260573324,D,DISPATCHED,O,OPEN,Open,E TRINITY LN,36.209999999706326,-86.76999999970943,,,20,"PARKING LOT, GARAGE",1,13C,ASSAULT- FEAR OF BODILY INJURY,,1,No,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,UNKNOWN,,,,,,1790119200000,1790125680000
925650,20260573059_11,20260573059,D,DISPATCHED,U,UNFOUNDED,Closed,1108 1108,36.18100000016468,-86.74999999985195,,,90,APARTMENT,1,740,TRANSPORT,NONE,1,No,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,RESIDENT,,,,37206.0,17,1790112000000,1790125620000
919840,20260573089_11,20260573089,D,DISPATCHED,A,CLEARED BY ARREST,Closed,504 504,36.18100000016468,-86.64099999982021,,,90,APARTMENT,1,13A,INTENTIONAL AGGRAVATED ASSAULT,LETHAL/CUTTING INSTRUMENT,1,Yes,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,UNKNOWN,,,,37214.0,06,1790112600000,1790124300000
895282,20260573238_11,20260573238,S,SUSPECT,O,OPEN,Open,BENDING RIVER DR,36.090000000189825,-87.00999999979578,,,22,"RESIDENCE, HOME",1,26C,CRIMINAL IMPERSONATION,NONE,1,No,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,UNKNOWN,,,,,17,1790118660000,1790122500000
895717,20260573133_11,20260573133,D,DISPATCHED,O,OPEN,Open,ALCOTT DR,36.090000000189825,-86.84000000010889,,,22,"RESIDENCE, HOME",1,23F,BURGLARY- MOTOR VEHICLE,NONE,1,No,I,INDIVIDUAL (18 AND OVER),M,W,Unknown,UNKNOWN,,,,,17,1789885800000,1790118180000
895274,20260572885_11,20260572885,D,DISPATCHED,O,OPEN,Open,DICKERSON,36.19000000021294,-86.76999999970943,,,22,"RESIDENCE, HOME",1,26E,FRAUD BY WIRE,NONE,1,No,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,RESIDENT,,,,,17,1787749200000,1790117520000
924866,20260573041_11,20260573041,D,DISPATCHED,A,CLEARED BY ARREST,Closed,1008 1008,36.18799999983186,-86.62899999972605,,,22,"RESIDENCE, HOME",1,13B,ASSAULT- OFFENSIVE OR PROVOCATIVE CONTACT,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,UNKNOWN,,,,37076.0,09,1790111220000,1790117340000
