Forecast_Number,Start_Time,End_Time,Temperature,Temperature_Unit,Precipitation_Probability,Wind_Speed,Wind_Direction,Short_Forecast,Latitude,Longitude
1,2026-09-23T17:00:00-05:00,2026-09-23T18:00:00-05:00,71,F,0,10 mph,N,Partly Sunny,36.1627,-86.7816
2,2026-09-23T18:00:00-05:00,2026-09-23T19:00:00-05:00,71,F,0,10 mph,N,Mostly Cloudy,36.1627,-86.7816
3,2026-09-23T19:00:00-05:00,2026-09-23T20:00:00-05:00,70,F,0,10 mph,N,Mostly Cloudy,36.1627,-86.7816
4,2026-09-23T20:00:00-05:00,2026-09-23T21:00:00-05:00,70,F,0,5 mph,N,Mostly Cloudy,36.1627,-86.7816
5,2026-09-23T21:00:00-05:00,2026-09-23T22:00:00-05:00,69,F,0,5 mph,N,Mostly Cloudy,36.1627,-86.7816
6,2026-09-23T22:00:00-05:00,2026-09-23T23:00:00-05:00,69,F,1,5 mph,N,Mostly Cloudy,36.1627,-86.7816
7,2026-09-23T23:00:00-05:00,2026-09-24T00:00:00-05:00,68,F,1,5 mph,N,Mostly Cloudy,36.1627,-86.7816
8,2026-09-24T00:00:00-05:00,2026-09-24T01:00:00-05:00,67,F,0,5 mph,N,Mostly Cloudy,36.1627,-86.7816
9,2026-09-24T01:00:00-05:00,2026-09-24T02:00:00-05:00,66,F,0,5 mph,N,Mostly Cloudy,36.1627,-86.7816
10,2026-09-24T02:00:00-05:00,2026-09-24T03:00:00-05:00,66,F,0,5 mph,N,Mostly Cloudy,36.1627,-86.7816
11,2026-09-24T03:00:00-05:00,2026-09-24T04:00:00-05:00,65,F,0,5 mph,N,Mostly Cloudy,36.1627,-86.7816
12,2026-09-24T04:00:00-05:00,2026-09-24T05:00:00-05:00,65,F,2,5 mph,N,Mostly Cloudy,36.1627,-86.7816
13,2026-09-24T05:00:00-05:00,2026-09-24T06:00:00-05:00,65,F,4,5 mph,N,Mostly Cloudy,36.1627,-86.7816
14,2026-09-24T06:00:00-05:00,2026-09-24T07:00:00-05:00,64,F,6,0 mph,,Mostly Cloudy,36.1627,-86.7816
15,2026-09-24T07:00:00-05:00,2026-09-24T08:00:00-05:00,64,F,4,0 mph,,Mostly Cloudy,36.1627,-86.7816
16,2026-09-24T08:00:00-05:00,2026-09-24T09:00:00-05:00,67,F,4,5 mph,NNE,Mostly Cloudy,36.1627,-86.7816
17,2026-09-24T09:00:00-05:00,2026-09-24T10:00:00-05:00,69,F,3,5 mph,NNE,Mostly Cloudy,36.1627,-86.7816
18,2026-09-24T10:00:00-05:00,2026-09-24T11:00:00-05:00,72,F,5,5 mph,NE,Mostly Cloudy,36.1627,-86.7816
19,2026-09-24T11:00:00-05:00,2026-09-24T12:00:00-05:00,74,F,3,5 mph,NE,Mostly Cloudy,36.1627,-86.7816
